name,passed,detail,measured,tolerance,failure_mode
posterior_k_normalised,True,|Σ P(k|y) − 1| = 1.332e-15,0.9999999999999987,1e-07,
forward_backward_agreement,True,"|L̃[3,n] − R̃[3,0]| = 0.000e+00",0.0,1e-06,
boundary_event_sum,True,"Σ P(b_i=1|y,k_map) = 2.000000, expected 2",-2.220446049250313e-15,1e-06,
map_backtrack_consistent,True,|backtrack − stored| = 0.000e+00,0.0,1e-06,
