n,k_max,mean_seconds,std_seconds
50,10,0.035480,0.000319
100,10,0.073845,0.001449
200,10,0.152462,0.001219
400,10,0.315737,0.001314
50,20,0.065706,0.000662
100,20,0.144594,0.001981
200,20,0.305931,0.005024
400,20,0.646229,0.014839
