family,n,k_true,k_sel_med,f1_mean,f1_std,mae_mean,mae_std,mse_mean,mse_std,nll_mean,nll_std
Gaussian,120,3,4,0.7947,0.0267,0.000,0.000,0.0038,0.0019,0.1910,0.0630
Poisson,120,3,6,0.5914,0.0636,0.020,0.100,0.4100,0.1745,2.1619,0.0647
Binomial,120,3,4,0.7840,0.0442,0.000,0.000,0.0006,0.0003,2.1081,0.0585
Beta-valued,120,3,3,0.9120,0.1013,0.000,0.000,0.0002,0.0002,2.6204,0.0546
