n,k_max,mean_seconds,std_seconds
50,10,0.037744,0.000052
100,10,0.077917,0.000316
200,10,0.161458,0.000359
400,10,0.337910,0.001386
50,20,0.070404,0.000250
100,20,0.152808,0.001118
200,20,0.321270,0.001219
400,20,0.673339,0.001118
