seed,shared_mean_subject_f1,independent_mean_f1,difference,subject_deviation_selected
321501,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321502,0.4833333333333334,0.5277777777777778,0.0444444444444444,True
321503,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321504,0.4833333333333334,0.6527777777777778,0.1694444444444444,True
321505,0.4833333333333334,0.6111111111111112,0.12777777777777777,True
321506,0.4833333333333334,0.5992063492063493,0.1158730158730159,True
321507,0.4833333333333334,0.6158730158730159,0.1325396825396825,True
321508,0.4833333333333334,0.5944444444444444,0.11111111111111105,True
321509,0.4833333333333334,0.6527777777777778,0.1694444444444444,True
321510,0.4833333333333334,0.6527777777777778,0.1694444444444444,True
321511,0.4833333333333334,0.6527777777777778,0.1694444444444444,True
321512,0.8500000000000001,0.6277777777777778,-0.22222222222222232,True
321513,0.4833333333333334,0.6408730158730158,0.15753968253968242,True
321514,0.4833333333333334,0.6361111111111111,0.15277777777777768,True
321515,0.4833333333333334,0.6444444444444445,0.1611111111111111,True
321516,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321517,0.4833333333333334,0.6539682539682541,0.1706349206349207,True
321518,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321519,0.4833333333333334,0.6444444444444444,0.16111111111111098,True
321520,0.4833333333333334,0.5777777777777777,0.09444444444444433,True
321521,0.4833333333333334,0.6361111111111111,0.15277777777777768,True
321522,0.4833333333333334,0.6527777777777778,0.1694444444444444,True
321523,0.4833333333333334,0.5992063492063493,0.1158730158730159,True
321524,0.4833333333333334,0.6111111111111112,0.12777777777777777,True
321525,0.4833333333333334,0.6361111111111111,0.15277777777777768,True
321526,0.4833333333333334,0.5944444444444444,0.11111111111111105,True
321527,0.4833333333333334,0.6408730158730158,0.15753968253968242,True
321528,0.4833333333333334,0.5902777777777778,0.1069444444444444,True
321529,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321530,0.4833333333333334,0.5861111111111111,0.10277777777777775,True
321531,0.4833333333333334,0.5992063492063493,0.1158730158730159,True
321532,0.4833333333333334,0.6694444444444445,0.18611111111111112,True
321533,0.4833333333333334,0.6444444444444445,0.1611111111111111,True
321534,0.4833333333333334,0.6694444444444445,0.18611111111111112,True
321535,0.4833333333333334,0.6694444444444445,0.18611111111111112,True
321536,0.4833333333333334,0.6694444444444445,0.18611111111111112,True
321537,0.4833333333333334,0.6027777777777779,0.11944444444444446,True
321538,0.4833333333333334,0.6027777777777779,0.11944444444444446,True
321539,0.4833333333333334,0.5783730158730159,0.09503968253968254,True
321540,0.4833333333333334,0.6150793650793651,0.13174603174603172,True
321541,0.4833333333333334,0.5833333333333333,0.09999999999999987,True
321542,0.4833333333333334,0.5992063492063493,0.1158730158730159,True
321543,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321544,0.4833333333333334,0.5384920634920636,0.055158730158730185,True
321545,0.4833333333333334,0.5992063492063493,0.1158730158730159,True
321546,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
321547,0.4833333333333334,0.6361111111111111,0.15277777777777768,True
321548,0.4833333333333334,0.603968253968254,0.12063492063492065,True
321549,0.4833333333333334,0.5944444444444444,0.11111111111111105,True
321550,0.4833333333333334,0.6277777777777778,0.14444444444444438,True
