cell,seed,status,wall_seconds
zero-inflated-poisson,281513,executed,0.06034433399327099
zero-inflated-poisson,281514,executed,0.058237833029124886
zero-inflated-poisson,281515,executed,0.057037207996472716
zero-inflated-poisson,281516,executed,0.05844570801127702
zero-inflated-poisson,281517,executed,0.06362045899732038
zero-inflated-poisson,281518,executed,0.058854542032349855
zero-inflated-poisson,281519,executed,0.05892133398447186
zero-inflated-poisson,281520,executed,0.0697537079686299
zero-inflated-poisson,281521,executed,0.05850841698702425
zero-inflated-poisson,281522,executed,0.05947420798474923
zero-inflated-poisson,281523,executed,0.0580156659707427
zero-inflated-poisson,281524,executed,0.05796191701665521
zero-inflated-poisson,281525,executed,0.059088666981551796
zero-inflated-poisson,281526,executed,0.058826708991546184
zero-inflated-poisson,281527,executed,0.057779708004090935
zero-inflated-poisson,281528,executed,0.058132915990427136
zero-inflated-poisson,281529,executed,0.05802991701057181
zero-inflated-poisson,281530,executed,0.059703667007852346
zero-inflated-poisson,281531,executed,0.05847699998412281
zero-inflated-poisson,281532,executed,0.05776995897758752
zero-inflated-poisson,281533,executed,0.058675209002103657
zero-inflated-poisson,281534,executed,0.05955141695449129
zero-inflated-poisson,281535,executed,0.06058345903875306
zero-inflated-poisson,281536,executed,0.06651070801308379
zero-inflated-poisson,281537,executed,0.06138212501537055
zero-inflated-poisson,281538,executed,0.06036037497688085
zero-inflated-poisson,281539,executed,0.05800958297913894
zero-inflated-poisson,281540,executed,0.05783849995350465
zero-inflated-poisson,281541,executed,0.05874116602353752
zero-inflated-poisson,281542,executed,0.05915829201694578
zero-inflated-poisson,281543,executed,0.05886300001293421
zero-inflated-poisson,281544,executed,0.0595282920403406
zero-inflated-poisson,281545,executed,0.06143516598967835
zero-inflated-poisson,281546,executed,0.06410949997371063
zero-inflated-poisson,281547,executed,0.05982099997345358
zero-inflated-poisson,281548,executed,0.06887179199839011
zero-inflated-poisson,281549,executed,0.06743220798671246
zero-inflated-poisson,281550,executed,0.06031854194588959
dense-gaussian,291501,executed,0.11029679200146347
dense-gaussian,291502,executed,0.11438704200554639
dense-gaussian,291503,executed,0.10411000001477078
dense-gaussian,291504,executed,0.11737204098608345
dense-gaussian,291505,executed,0.1053845839924179
dense-gaussian,291506,executed,0.10348833398893476
dense-gaussian,291507,executed,0.10526712500723079
dense-gaussian,291508,executed,0.10438999999314547
dense-gaussian,291509,executed,0.10618916701059788
dense-gaussian,291510,executed,0.10794579098001122
dense-gaussian,291511,executed,0.10435345798032358
dense-gaussian,291512,executed,0.10533254098845646
dense-gaussian,291513,executed,0.10758520796662197
dense-gaussian,291514,executed,0.10520162503235042
dense-gaussian,291515,executed,0.10480799997458234
dense-gaussian,291516,executed,0.10508087498601526
dense-gaussian,291517,executed,0.1150910829892382
dense-gaussian,291518,executed,0.11716083396458998
dense-gaussian,291519,executed,0.10513133299537003
dense-gaussian,291520,executed,0.11538479098817334
dense-gaussian,291521,executed,0.1164575419970788
dense-gaussian,291522,executed,0.10454674996435642
dense-gaussian,291523,executed,0.1065993329975754
dense-gaussian,291524,executed,0.10596566699678078
dense-gaussian,291525,executed,0.10616320796543732
dense-gaussian,291526,executed,0.10389008303172886
dense-gaussian,291527,executed,0.10330524999881163
dense-gaussian,291528,executed,0.10513879201607779
dense-gaussian,291529,executed,0.10296158300479874
dense-gaussian,291530,executed,0.10948270803783089
dense-gaussian,291531,executed,0.1042240000097081
dense-gaussian,291532,executed,0.11318958300398663
dense-gaussian,291533,executed,0.10437508398899809
dense-gaussian,291534,executed,0.10340449999785051
dense-gaussian,291535,executed,0.10345679201418534
dense-gaussian,291536,executed,0.10465712496079504
dense-gaussian,291537,executed,0.10733770800288767
dense-gaussian,291538,executed,0.10573929100064561
dense-gaussian,291539,executed,0.1039311250206083
dense-gaussian,291540,executed,0.10891358298249543
dense-gaussian,291541,executed,0.10682529205223545
dense-gaussian,291542,executed,0.10574995802016929
dense-gaussian,291543,executed,0.10390020901104435
dense-gaussian,291544,executed,0.10505574999842793
dense-gaussian,291545,executed,0.10572979197604582
dense-gaussian,291546,executed,0.10534445801749825
dense-gaussian,291547,executed,0.11391733295749873
