cell,seed,data_hash,truth_hash,effective_config_hash
dense-gaussian,291520,True,True,True
dense-gaussian,291521,True,True,True
dense-gaussian,291522,True,True,True
dense-gaussian,291523,True,True,True
dense-gaussian,291524,True,True,True
dense-gaussian,291525,True,True,True
dense-gaussian,291526,True,True,True
dense-gaussian,291527,True,True,True
dense-gaussian,291528,True,True,True
dense-gaussian,291529,True,True,True
dense-gaussian,291530,True,True,True
dense-gaussian,291531,True,True,True
dense-gaussian,291532,True,True,True
dense-gaussian,291533,True,True,True
dense-gaussian,291534,True,True,True
dense-gaussian,291535,True,True,True
dense-gaussian,291536,True,True,True
dense-gaussian,291537,True,True,True
dense-gaussian,291538,True,True,True
dense-gaussian,291539,True,True,True
dense-gaussian,291540,True,True,True
dense-gaussian,291541,True,True,True
dense-gaussian,291542,True,True,True
dense-gaussian,291543,True,True,True
dense-gaussian,291544,True,True,True
dense-gaussian,291545,True,True,True
dense-gaussian,291546,True,True,True
dense-gaussian,291547,True,True,True
dense-gaussian,291548,True,True,True
dense-gaussian,291549,True,True,True
dense-gaussian,291550,True,True,True
short-segment-gaussian,301501,True,True,True
short-segment-gaussian,301502,True,True,True
short-segment-gaussian,301503,True,True,True
short-segment-gaussian,301504,True,True,True
short-segment-gaussian,301505,True,True,True
short-segment-gaussian,301506,True,True,True
short-segment-gaussian,301507,True,True,True
short-segment-gaussian,301508,True,True,True
short-segment-gaussian,301509,True,True,True
short-segment-gaussian,301510,True,True,True
short-segment-gaussian,301511,True,True,True
short-segment-gaussian,301512,True,True,True
short-segment-gaussian,301513,True,True,True
short-segment-gaussian,301514,True,True,True
short-segment-gaussian,301515,True,True,True
short-segment-gaussian,301516,True,True,True
short-segment-gaussian,301517,True,True,True
short-segment-gaussian,301518,True,True,True
short-segment-gaussian,301519,True,True,True
short-segment-gaussian,301520,True,True,True
short-segment-gaussian,301521,True,True,True
short-segment-gaussian,301522,True,True,True
short-segment-gaussian,301523,True,True,True
short-segment-gaussian,301524,True,True,True
short-segment-gaussian,301525,True,True,True
short-segment-gaussian,301526,True,True,True
short-segment-gaussian,301527,True,True,True
short-segment-gaussian,301528,True,True,True
short-segment-gaussian,301529,True,True,True
short-segment-gaussian,301530,True,True,True
short-segment-gaussian,301531,True,True,True
short-segment-gaussian,301532,True,True,True
short-segment-gaussian,301533,True,True,True
short-segment-gaussian,301534,True,True,True
short-segment-gaussian,301535,True,True,True
short-segment-gaussian,301536,True,True,True
short-segment-gaussian,301537,True,True,True
short-segment-gaussian,301538,True,True,True
short-segment-gaussian,301539,True,True,True
short-segment-gaussian,301540,True,True,True
short-segment-gaussian,301541,True,True,True
short-segment-gaussian,301542,True,True,True
short-segment-gaussian,301543,True,True,True
short-segment-gaussian,301544,True,True,True
short-segment-gaussian,301545,True,True,True
short-segment-gaussian,301546,True,True,True
short-segment-gaussian,301547,True,True,True
short-segment-gaussian,301548,True,True,True
short-segment-gaussian,301549,True,True,True
short-segment-gaussian,301550,True,True,True
prior-conflict-gaussian,311501,True,True,True
prior-conflict-gaussian,311502,True,True,True
prior-conflict-gaussian,311503,True,True,True
prior-conflict-gaussian,311504,True,True,True
prior-conflict-gaussian,311505,True,True,True
prior-conflict-gaussian,311506,True,True,True
prior-conflict-gaussian,311507,True,True,True
prior-conflict-gaussian,311508,True,True,True
prior-conflict-gaussian,311509,True,True,True
prior-conflict-gaussian,311510,True,True,True
prior-conflict-gaussian,311511,True,True,True
prior-conflict-gaussian,311512,True,True,True
prior-conflict-gaussian,311513,True,True,True
