seed,method,status,wall_seconds,fit_wall_seconds,max_block_error,empirical_tv,truth_f1,map_jaccard
331501,quadrature-40,executed,0.0748948339605704,,4.027387038980606,0.019028721481488958,0.6666666666666666,1.0
331501,laplace,executed,0.031216208008117974,,6.920496268683628,0.035355675806527515,0.6666666666666666,1.0
331501,ep,timed-out,21.03639220900368,20.005660374998115,,,,
331502,quadrature-40,executed,0.08288516598986462,,4.0273870389806135,0.018945303394502427,1.0,1.0
331502,laplace,executed,0.029639832966495305,,6.920496268683621,0.04193233417788962,1.0,1.0
331502,ep,timed-out,21.050618749985006,20.00514533399837,,,,
331503,quadrature-40,executed,0.07061866600997746,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331503,laplace,executed,0.02833083301084116,,7.4507191480984005,0.037056133565134,1.0,1.0
331503,ep,timed-out,20.971418375032954,20.005573208036367,,,,
331504,quadrature-40,executed,0.07862266700249165,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331504,laplace,executed,0.033532500034198165,,7.4507191480984005,0.037056133565134,1.0,1.0
331504,ep,timed-out,20.997657958010677,20.005529874993954,,,,
331505,quadrature-40,executed,0.0721766659989953,,3.6266393097304572,0.004993021032494133,0.6666666666666666,1.0
331505,laplace,executed,0.029354792030062526,,5.230392489959122,0.023997834204091607,0.6666666666666666,1.0
331505,ep,timed-out,20.979688166000415,20.005957041983493,,,,
331506,quadrature-40,executed,0.08054699999047443,,4.2179595645866215,0.004747927825080697,0.6666666666666666,1.0
331506,laplace,executed,0.03175720904255286,,7.450719148098408,0.03181056614804384,0.6666666666666666,1.0
331506,ep,timed-out,20.994681750016753,20.00603437499376,,,,
331507,quadrature-40,executed,0.07960670802276582,,3.411889938824814,0.007133913756129845,0.6666666666666666,1.0
331507,laplace,executed,0.029070874967146665,,4.43521087073524,0.020361043083612668,0.6666666666666666,1.0
331507,ep,timed-out,20.989626125025097,20.00627979199635,,,,
331508,quadrature-40,executed,0.07364612497622147,,4.027387038980606,0.019028721481488958,0.6666666666666666,1.0
331508,laplace,executed,0.028879166988190264,,6.920496268683628,0.035355675806527515,0.6666666666666666,1.0
331508,ep,timed-out,20.94438274996355,20.0061322079855,,,,
331509,quadrature-40,executed,0.08050912502221763,,4.2179595645866215,0.01643392203379876,1.0,0.5
331509,laplace,executed,0.028211167023982853,,7.450719148098408,0.03311578703619422,1.0,0.5
331509,ep,timed-out,20.94602220802335,20.005954749998637,,,,
331510,quadrature-40,executed,0.06932904198765755,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331510,laplace,executed,0.027365250047296286,,7.4507191480984005,0.037056133565134,1.0,1.0
331510,ep,timed-out,20.96884945902275,20.005015500006266,,,,
331511,quadrature-40,executed,0.06994345801649615,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331511,laplace,executed,0.027346708986442536,,7.4507191480984005,0.037056133565134,1.0,1.0
331511,ep,timed-out,20.931433166959323,20.004647207970265,,,,
331512,quadrature-40,executed,0.07276737497886643,,4.027387038980592,0.017651985374629087,1.0,1.0
331512,laplace,executed,0.02923362498404458,,6.920496268683628,0.020810615656897135,1.0,1.0
331512,ep,timed-out,20.734261041972786,20.004602333996445,,,,
331513,quadrature-40,executed,0.07479437498841435,,3.626639309730429,0.0008267238050577719,1.0,1.0
331513,laplace,executed,0.028706541983410716,,5.230392489959115,0.022223812886752167,1.0,1.0
331513,ep,timed-out,20.94742658303585,20.006338290986605,,,,
331514,quadrature-40,executed,0.07777233299566433,,3.626639309730429,0.024195868961333675,1.0,1.0
331514,laplace,executed,0.028449707955587655,,5.230392489959115,0.030922782824838596,1.0,1.0
331514,ep,timed-out,20.92458454100415,20.004774250031915,,,,
331515,quadrature-40,executed,0.07313066598726436,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331515,laplace,executed,0.030642250028904527,,7.4507191480984005,0.037056133565134,1.0,1.0
331515,ep,timed-out,20.863612874993123,20.004565250012092,,,,
331516,quadrature-40,executed,0.07040520902955905,,4.027387038980606,0.0022422755642730607,1.0,1.0
331516,laplace,executed,0.027855583000928164,,6.920496268683628,0.02123521321139705,1.0,1.0
331516,ep,timed-out,20.92514691699762,20.00629770901287,,,,
331517,quadrature-40,executed,0.07061300001805648,,4.0273870389806135,0.020616193608701927,0.6666666666666666,1.0
331517,laplace,executed,0.02785395795945078,,6.920496268683621,0.03649530178477514,1.0,0.5
331517,ep,timed-out,20.91365629096981,20.005750707990956,,,,
331518,quadrature-40,executed,0.07618170900968835,,4.217959564586636,0.02403358906311462,0.6666666666666666,1.0
331518,laplace,executed,0.029701083025429398,,7.450719148098393,0.03001519571657016,0.6666666666666666,1.0
331518,ep,timed-out,20.945511333004106,20.006968041998334,,,,
331519,quadrature-40,executed,0.07096687500597909,,4.0273870389806135,0.019100209279563934,1.0,1.0
331519,laplace,executed,0.027522000018507242,,6.920496268683621,0.04179746353034586,1.0,1.0
331519,ep,timed-out,21.00030679203337,20.0055723330006,,,,
331520,quadrature-40,executed,0.07306337502086535,,3.6266393097304572,0.014470914659336684,0.5,1.0
331520,laplace,executed,0.027773499954491854,,5.230392489959122,0.02614125644613377,0.5,1.0
331520,ep,timed-out,21.033177791978233,20.006022416986525,,,,
